NOC2016,noc_title_2016,NOC2006,noc_title_2006
1513,"Couriers, messengers and door-to-door distributors",B563,"Couriers, messengers and door-to-door distributors"
1521,Shippers and receivers,B571,Shippers and receivers
1522,Storekeepers and partspersons,B572,Storekeepers and parts clerks
1523,Production logistics co-ordinators,B573,Production clerks
1524,Purchasing and inventory control workers,B574,Purchasing and inventory clerks
1525,Dispatchers,B575,Dispatchers and radio operators
1526,Transportation route and crew schedulers,B576,Transportation route and crew schedulers
2111,Physicists and astronomers,C011,Physicists and astronomers
2112,Chemists,C012,Chemists
2113,Geoscientists and oceanographers,C013,"Geologists, geochemists and geophysicists"
2114,Meteorologists and climatologists,C014,Meteorologists
2115,Other professional occupations in physical sciences,C015,Other professional occupations in physical sciences
2121,Biologists and related scientists,C021,Biologists and related scientists
2122,Forestry professionals,C022,Forestry professionals
2123,"Agricultural representatives, consultants and specialists",C023,"Agricultural representatives, consultants and specialists"
2131,Civil engineers,C031,Civil engineers
2132,Mechanical engineers,C032,Mechanical engineers
2133,Electrical and electronics engineers,C033,Electrical and electronics engineers
2134,Chemical engineers,C034,Chemical engineers
2141,Industrial and manufacturing engineers,C041,Industrial and manufacturing engineers
2142,Metallurgical and materials engineers,C042,Metallurgical and materials engineers
2143,Mining engineers,C043,Mining engineers
2144,Geological engineers,C044,Geological engineers
2145,Petroleum engineers,C045,Petroleum engineers
2146,Aerospace engineers,C046,Aerospace engineers
2147,Computer engineers (except software engineers and designers),C047,Computer engineers (except software engineers and designers)
2148,"Other professional engineers, n.e.c.",C048,"Other professional engineers, n.e.c."
2151,Architects,C051,Architects
2152,Landscape architects,C052,Landscape architects
2153,Urban and land use planners,C053,Urban and land use planners
2154,Land surveyors,C054,Land surveyors
2161,"Mathematicians, statisticians and actuaries",C061,"Mathematicians, statisticians and actuaries"
2171,Information systems analysts and consultants,C071,Information systems analysts and consultants
2172,Database analysts and data administrators,C072,Database analysts and data administrators
2173,Software engineers and designers,C073,Software engineers and designers
2174,Computer programmers and interactive media developers,C074,Computer programmers and interactive media developers
2175,Web designers and developers,C075,Web designers and developers
2211,Chemical technologists and technicians,C111,Chemical technologists and technicians
2212,Geological and mineral technologists and technicians,C112,Geological and mineral technologists and technicians
2221,Biological technologists and technicians,C121,Biological technologists and technicians
2222,Agricultural and fish products inspectors,C122,Agricultural and fish products inspectors
2223,Forestry technologists and technicians,C123,Forestry technologists and technicians
2224,Conservation and fishery officers,C124,Conservation and fishery officers
2225,Landscape and horticulture technicians and specialists,C125,Landscape and horticulture technicians and specialists
2231,Civil engineering technologists and technicians,C131,Civil engineering technologists and technicians
2232,Mechanical engineering technologists and technicians,C132,Mechanical engineering technologists and technicians
2233,Industrial engineering and manufacturing technologists and technicians,C133,Industrial engineering and manufacturing technologists and technicians
2234,Construction estimators,C134,Construction estimators
2241,Electrical and electronics engineering technologists and technicians,C141,Electrical and electronics engineering technologists and technicians
2242,Electronic service technicians (household and business equipment),C142,Electronic service technicians (household and business equipment)
2243,Industrial instrument technicians and mechanics,C143,Industrial instrument technicians and mechanics
2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",C144,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
2251,Architectural technologists and technicians,C151,Architectural technologists and technicians
2252,Industrial designers,C152,Industrial designers
2253,Drafting technologists and technicians,C153,Drafting technologists and technicians
2254,Land survey technologists and technicians,C154,Land survey technologists and technicians
2255,Technical occupations in geomatics and meteorology,C113,Meteorological technicians
2255,Technical occupations in geomatics and meteorology,C155,Mapping and related technologists and technicians
2261,Non-destructive testers and inspection technicians,C161,Non-destructive testers and inspectors
2262,Engineering inspectors and regulatory officers,C162,Engineering inspectors and regulatory officers
2263,Inspectors in public and environmental health and occupational health and safety,C163,Inspectors in public and environmental health and occupational health and safety
2264,Construction inspectors,C164,Construction inspectors
2271,"Air pilots, flight engineers and flying instructors",C171,"Air pilots, flight engineers and flying instructors"
2272,Air traffic controllers and related occupations,C172,Air traffic control and related occupations
2273,"Deck officers, water transport",C173,"Deck officers, water transport"
2274,"Engineer officers, water transport",C174,"Engineer officers, water transport"
2275,Railway traffic controllers and marine traffic regulators,C175,Railway traffic controllers and marine traffic regulators
2281,Computer network technicians,C181,Computer network technicians
2282,User support technicians,C182,User support technicians
2283,Information systems testing technicians,C183,Systems testing technicians
3011,Nursing co-ordinators and supervisors,D111,Head nurses and supervisors
