NOC2016,noc_title_2016,NOC2006,noc_title_2006
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",I013,Farm supervisors and specialized livestock workers
8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",I015,Landscaping and grounds maintenance contractors and managers
8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",I016,"Supervisors, landscape and horticulture"
8261,Fishing masters and officers,I171,Fishing masters and officers
8262,Fishermen/women,I172,Fishing vessel skippers and fishermen/women
8411,Underground mine service and support workers,I141,Underground mine service and support workers
8412,Oil and gas well drilling and related workers and services operators,I142,Oil and gas well drilling workers and services operators
8421,Chain saw and skidder operators,I161,Chain saw and skidder operators
8422,Silviculture and forestry workers,I162,Silviculture and forestry workers
8431,General farm workers,I021,General farm workers
8432,Nursery and greenhouse workers,I022,Nursery and greenhouse workers
8441,Fishing vessel deckhands,I181,Fishing vessel deckhands
8442,Trappers and hunters,I182,Trappers and hunters
8611,Harvesting labourers,I211,Harvesting labourers
8612,Landscaping and grounds maintenance labourers,I212,Landscaping and grounds maintenance labourers
8613,Aquaculture and marine harvest labourers,I213,Aquaculture and marine harvest labourers
8614,Mine labourers,I214,Mine labourers
8615,"Oil and gas drilling, servicing and related labourers",I215,"Oil and gas drilling, servicing and related labourers"
8616,Logging and forestry labourers,I216,Logging and forestry labourers
9211,"Supervisors, mineral and metal processing",J011,"Supervisors, mineral and metal processing"
9212,"Supervisors, petroleum, gas and chemical processing and utilities",J012,"Supervisors, petroleum, gas and chemical processing and utilities"
9213,"Supervisors, food, beverage and associated products processing",J013,"Supervisors, food, beverage and tobacco processing"
9214,"Supervisors, plastic and rubber products manufacturing",J014,"Supervisors, plastic and rubber products manufacturing"
9215,"Supervisors, forest products processing",J015,"Supervisors, forest products processing"
9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",J016,"Supervisors, textile processing"
9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",J025,"Supervisors, fabric, fur and leather products manufacturing"
9221,"Supervisors, motor vehicle assembling",J021,"Supervisors, motor vehicle assembling"
9222,"Supervisors, electronics manufacturing",J022,"Supervisors, electronics manufacturing"
9223,"Supervisors, electrical products manufacturing",J023,"Supervisors, electrical products manufacturing"
9224,"Supervisors, furniture and fixtures manufacturing",J024,"Supervisors, furniture and fixtures manufacturing"
9226,"Supervisors, other mechanical and metal products manufacturing",J026,"Supervisors, other mechanical and metal products manufacturing"
9227,"Supervisors, other products manufacturing and assembly",J027,"Supervisors, other products manufacturing and assembly"
9231,"Central control and process operators, mineral and metal processing",J111,"Central control and process operators, mineral and metal processing"
9232,"Petroleum, gas and chemical process operators",J112,"Petroleum, gas and chemical process operators"
9235,"Pulping, papermaking and coating control operators",J113,Pulping control operators
9235,"Pulping, papermaking and coating control operators",J114,Papermaking and coating control operators
9241,Power engineers and power systems operators,H221,Stationary engineers and auxiliary equipment operators
9241,Power engineers and power systems operators,H222,Power systems and power station operators
9243,Water and waste treatment plant operators,J134,Water and waste plant operators
9411,"Machine operators, mineral and metal processing",J121,"Machine operators, mineral and metal processing"
9412,Foundry workers,J122,Foundry workers
9413,Glass forming and finishing machine operators and glass cutters,J123,Glass forming and finishing machine operators and glass cutters
9414,"Concrete, clay and stone forming operators",J124,"Concrete, clay and stone forming operators"
9415,"Inspectors and testers, mineral and metal processing",J125,"Inspectors and testers, mineral and metal processing"
9416,Metalworking and forging machine operators,J192,Forging machine operators
9416,Metalworking and forging machine operators,J194,Metalworking machine operators
9417,Machining tool operators,J191,Machining tool operators
9418,Other metal products machine operators,J196,Other metal products machine operators
9421,Chemical plant machine operators,J131,Chemical plant machine operators
9422,Plastics processing machine operators,J132,Plastics processing machine operators
9423,Rubber processing machine operators and related workers,J133,Rubber processing machine operators and related workers
9431,Sawmill machine operators,J141,Sawmill machine operators
9432,Pulp mill machine operators,J142,Pulp mill machine operators
9433,Papermaking and finishing machine operators,J143,Papermaking and finishing machine operators
9434,Other wood processing machine operators,J144,Other wood processing machine operators
9435,Paper converting machine operators,J145,Paper converting machine operators
9436,Lumber graders and other wood processing inspectors and graders,J146,Lumber graders and other wood processing inspectors and graders
9437,Woodworking machine operators,J193,Woodworking machine operators
9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",J151,Textile fibre and yarn preparation machine operators
9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",J153,Textile dyeing and finishing machine operators
9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",J163,Hide and pelt processing workers
9442,"Weavers, knitters and other fabric making occupations",J152,"Weavers, knitters and other fabric-making occupations"
9445,"Fabric, fur and leather cutters",J162,"Fabric, fur and leather cutters"
9446,Industrial sewing machine operators,J161,Sewing machine operators
9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",J154,"Textile inspectors, graders and samplers"
9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing","J164	Inspectors and testers, fabric, fur and leather products manufacturing",
9461,"Process control and machine operators, food, beverage and associated products processing",J171,"Process control and machine operators, food and beverage processing"
9461,"Process control and machine operators, food, beverage and associated products processing",J174,Tobacco processing machine operators
9462,"Industrial butchers and meat cutters, poultry preparers and related workers",J172,"Industrial butchers and meat cutters, poultry preparers and related workers"
9463,Fish and seafood plant workers,J173,Fish plant workers
9465,"Testers and graders, food, beverage and associated products processing",J175,"Testers and graders, food and beverage processing"
9471,Plateless printing equipment operators,J181,Printing machine operators
9472,"Camera, platemaking and other prepress occupations",J182,"Camera, platemaking and other prepress occupations"
9473,Binding and finishing machine operators,J183,Binding and finishing machine operators
9474,Photographic and film processors,J184,Photographic and film processors
9521,Aircraft assemblers and aircraft assembly inspectors,J211,Aircraft assemblers and aircraft assembly inspectors
9522,"Motor vehicle assemblers, inspectors and testers",J212,"Motor vehicle assemblers, inspectors and testers"
9523,"Electronics assemblers, fabricators, inspectors and testers",J213,"Electronics assemblers, fabricators, inspectors and testers"
9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",J214,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing"
9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",J215,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers"
9526,Mechanical assemblers and inspectors,J216,Mechanical assemblers and inspectors
9527,"Machine operators and inspectors, electrical apparatus manufacturing",J217,"Machine operators and inspectors, electrical apparatus manufacturing"
9531,Boat assemblers and inspectors,J221,Boat assemblers and inspectors
9532,Furniture and fixture assemblers and inspectors,J222,Furniture and fixture assemblers and inspectors
9533,Other wood products assemblers and inspectors,J223,Other wood products assemblers and inspectors
9534,Furniture finishers and refinishers,J224,Furniture finishers and refinishers
9535,"Plastic products assemblers, finishers and inspectors",J225,"Plastic products assemblers, finishers and inspectors"
9536,"Industrial painters, coaters and metal finishing process operators",J226,Painters and coaters - industrial
9536,"Industrial painters, coaters and metal finishing process operators",J227,"Plating, metal spraying and related operators"
9537,"Other products assemblers, finishers and inspectors",J197,Other products machine operators
9537,"Other products assemblers, finishers and inspectors",J228,Other assemblers and inspectors
9611,Labourers in mineral and metal processing,J311,Labourers in mineral and metal processing
9612,Labourers in metal fabrication,J312,Labourers in metal fabrication
9613,Labourers in chemical products processing and utilities,J313,Labourers in chemical products processing and utilities
9614,"Labourers in wood, pulp and paper processing",J314,"Labourers in wood, pulp and paper processing"
9615,Labourers in rubber and plastic products manufacturing,J315,Labourers in rubber and plastic products manufacturing
9616,Labourers in textile processing,J316,Labourers in textile processing
9617,"Labourers in food, beverage and associated products processing",J317,"Labourers in food, beverage and tobacco processing"
9618,Labourers in fish and seafood processing,J318,Labourers in fish processing
9619,"Other labourers in processing, manufacturing and utilities",J319,"Other labourers in processing, manufacturing and utilities"
