noc,noc_title,onet,onet_title
8615,"8615 Oil and gas drilling, servicing and related labourers",47-5071.00,"Roustabouts, Oil and Gas"
8411,8411 Underground mine service and support workers,47-5081.00,Helpers--Extraction Workers
8614,8614 Mine labourers,47-5081.00,Helpers--Extraction Workers
8615,"8615 Oil and gas drilling, servicing and related labourers",47-5081.00,Helpers--Extraction Workers
7205,"7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",49-1011.00,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers"
7246,7246 Telecommunications installation and repair workers,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
7246,7246 Telecommunications installation and repair workers,49-2021.00,Radio Mechanics
7246,7246 Telecommunications installation and repair workers,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
2244,"2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",49-2091.00,Avionics Technicians
7333,7333 Electrical mechanics,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
7333,7333 Electrical mechanics,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
2242,2242 Electronic service technicians (household and business equipment),49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
7333,7333 Electrical mechanics,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
7333,7333 Electrical mechanics,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
7333,7333 Electrical mechanics,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
7247,7247 Cable television service and maintenance technicians,49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers
7441,7441 Residential and commercial installers and servicers,49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers
2242,2242 Electronic service technicians (household and business equipment),49-2098.00,Security and Fire Alarm Systems Installers
2244,"2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",49-3011.00,Aircraft Mechanics and Service Technicians
7315,7315 Aircraft mechanics and aircraft inspectors,49-3011.00,Aircraft Mechanics and Service Technicians
7321,"7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",49-3021.00,Automotive Body and Related Repairers
7321,"7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",49-3022.00,Automotive Glass Installers and Repairers
7321,"7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",49-3023.00,Automotive Service Technicians and Mechanics
7301,"7301 Contractors and supervisors, mechanic trades",49-3023.01,Automotive Master Mechanics
7321,"7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",49-3023.01,Automotive Master Mechanics
7321,"7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",49-3023.02,Automotive Specialty Technicians
7535,7535 Other automotive mechanical installers and servicers,49-3023.02,Automotive Specialty Technicians
7321,"7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
7312,7312 Heavy-duty equipment mechanics,49-3041.00,Farm Equipment Mechanics
7312,7312 Heavy-duty equipment mechanics,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
7314,7314 Railway carmen/women,49-3043.00,Rail Car Repairers
7334,"7334 Motorcycle, all-terrain vehicle and other related mechanics",49-3051.00,Motorboat Mechanics
7334,"7334 Motorcycle, all-terrain vehicle and other related mechanics",49-3052.00,Motorcycle Mechanics
7335,7335 Other small engine and small equipment repairers,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
7335,7335 Other small engine and small equipment repairers,49-3092.00,Recreational Vehicle Service Technicians
7535,7535 Other automotive mechanical installers and servicers,49-3093.00,Tire Repairers and Changers
7442,7442 Waterworks and gas maintenance workers,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
7313,7313 Refrigeration and air conditioning mechanics,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
7331,7331 Oil and solid fuel heating mechanics,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
7313,7313 Refrigeration and air conditioning mechanics,49-9021.01,Heating and Air Conditioning Mechanics and Installers
7331,7331 Oil and solid fuel heating mechanics,49-9021.01,Heating and Air Conditioning Mechanics and Installers
7313,7313 Refrigeration and air conditioning mechanics,49-9021.02,Refrigeration Mechanics and Installers
7332,7332 Appliance servicers and repairers,49-9031.00,Home Appliance Repairers
2243,2243 Industrial instrument technicians and mechanics,49-9041.00,Industrial Machinery Mechanics
7311,7311 Construction millwrights and industrial mechanics,49-9041.00,Industrial Machinery Mechanics
7535,7535 Other automotive mechanical installers and servicers,49-9043.00,"Maintenance Workers, Machinery"
7311,7311 Construction millwrights and industrial mechanics,49-9044.00,Millwrights
9414,"9414 Concrete, clay and stone forming operators",49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
7244,7244 Electrical power line and cable workers,49-9051.00,Electrical Power-Line Installers and Repairers
7245,7245 Telecommunications line and cable workers,49-9052.00,Telecommunications Line Installers and Repairers
2242,2242 Electronic service technicians (household and business equipment),49-9061.00,Camera and Photographic Equipment Repairers
2241,2241 Electrical and electronics engineering technologists and technicians,49-9062.00,Medical Equipment Repairers
6344,"6344 Jewellers, jewellery and watch repairers and related occupations",49-9064.00,Watch Repairers
9446,9446 Industrial sewing machine operators,49-9093.00,"Fabric Menders, Except Garment"
7384,"7384 Other trades and related occupations, n.e.c.",49-9094.00,Locksmiths and Safe Repairers
7441,7441 Residential and commercial installers and servicers,49-9095.00,Manufactured Building and Mobile Home Installers
5227,"5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",49-9096.00,Riggers
7371,7371 Crane operators,49-9096.00,Riggers
9521,9521 Aircraft assemblers and aircraft assembly inspectors,49-9096.00,Riggers
9531,9531 Boat assemblers and inspectors,49-9096.00,Riggers
7242,7242 Industrial electricians,49-9097.00,Signal and Track Switch Repairers
7612,7612 Other trades helpers and labourers,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
7303,"7303 Supervisors, printing and related occupations",51-1011.00,First-Line Supervisors/Managers of Production and Operating Workers
7304,"7304 Supervisors, railway transport operations",51-1011.00,First-Line Supervisors/Managers of Production and Operating Workers
7305,"7305 Supervisors, motor transport and other ground transit operators",51-1011.00,First-Line Supervisors/Managers of Production and Operating Workers
9211,"9211 Supervisors, mineral and metal processing",51-1011.00,First-Line Supervisors/Managers of Production and Operating Workers
9212,"9212 Supervisors, petroleum, gas and chemical processing and utilities",51-1011.00,First-Line Supervisors/Managers of Production and Operating Workers
9213,"9213 Supervisors, food, beverage and associated products processing",51-1011.00,First-Line Supervisors/Managers of Production and Operating Workers
9214,"9214 Supervisors, plastic and rubber products manufacturing",51-1011.00,First-Line Supervisors/Managers of Production and Operating Workers
9215,"9215 Supervisors, forest products processing",51-1011.00,First-Line Supervisors/Managers of Production and Operating Workers
9217,"9217 Supervisors, textile, fabric, fur and leather products processing and manufacturing",51-1011.00,First-Line Supervisors/Managers of Production and Operating Workers
9221,"9221 Supervisors, motor vehicle assembling",51-1011.00,First-Line Supervisors/Managers of Production and Operating Workers
9222,"9222 Supervisors, electronics manufacturing",51-1011.00,First-Line Supervisors/Managers of Production and Operating Workers
9223,"9223 Supervisors, electrical products manufacturing",51-1011.00,First-Line Supervisors/Managers of Production and Operating Workers
9224,"9224 Supervisors, furniture and fixtures manufacturing",51-1011.00,First-Line Supervisors/Managers of Production and Operating Workers
9226,"9226 Supervisors, other mechanical and metal products manufacturing",51-1011.00,First-Line Supervisors/Managers of Production and Operating Workers
9227,"9227 Supervisors, other products manufacturing and assembly",51-1011.00,First-Line Supervisors/Managers of Production and Operating Workers
9521,9521 Aircraft assemblers and aircraft assembly inspectors,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
9537,"9537 Other products assemblers, finishers and inspectors",51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
9525,"9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",51-2021.00,"Coil Winders, Tapers, and Finishers"
9523,"9523 Electronics assemblers, fabricators, inspectors and testers",51-2022.00,Electrical and Electronic Equipment Assemblers
9524,"9524 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",51-2022.00,Electrical and Electronic Equipment Assemblers
9525,"9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",51-2023.00,Electromechanical Equipment Assemblers
9522,"9522 Motor vehicle assemblers, inspectors and testers",51-2031.00,Engine and Other Machine Assemblers
9526,9526 Mechanical assemblers and inspectors,51-2031.00,Engine and Other Machine Assemblers
7235,7235 Structural metal and platework fabricators and fitters,51-2041.00,Structural Metal Fabricators and Fitters
9619,"9619 Other labourers in processing, manufacturing and utilities",51-2091.00,Fiberglass Laminators and Fabricators
6344,"6344 Jewellers, jewellery and watch repairers and related occupations",51-2093.00,"Timing Device Assemblers, Adjusters, and Calibrators"
9537,"9537 Other products assemblers, finishers and inspectors",51-2093.00,"Timing Device Assemblers, Adjusters, and Calibrators"
6332,6332 Bakers,51-3011.00,Bakers
6331,"6331 Butchers, meat cutters and fishmongers - retail and wholesale",51-3021.00,Butchers and Meat Cutters
9462,"9462 Industrial butchers and meat cutters, poultry preparers and related workers",51-3021.00,Butchers and Meat Cutters
9462,"9462 Industrial butchers and meat cutters, poultry preparers and related workers",51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
9463,9463 Fish and seafood plant workers,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
9462,"9462 Industrial butchers and meat cutters, poultry preparers and related workers",51-3023.00,Slaughterers and Meat Packers
9461,"9461 Process control and machine operators, food, beverage and associated products processing",51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
9461,"9461 Process control and machine operators, food, beverage and associated products processing",51-3092.00,Food Batchmakers
9463,9463 Fish and seafood plant workers,51-3092.00,Food Batchmakers
9461,"9461 Process control and machine operators, food, beverage and associated products processing",51-3093.00,Food Cooking Machine Operators and Tenders
9463,9463 Fish and seafood plant workers,51-3093.00,Food Cooking Machine Operators and Tenders
9416,9416 Metalworking and forging machine operators,51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic"
9422,9422 Plastics processing machine operators,51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic"
2233,2233 Industrial engineering and manufacturing technologists and technicians,51-4012.00,Numerical Tool and Process Control Programmers
9416,9416 Metalworking and forging machine operators,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
9422,9422 Plastics processing machine operators,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
9416,9416 Metalworking and forging machine operators,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
9422,9422 Plastics processing machine operators,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
9241,9241 Power engineers and power systems operators,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
9422,9422 Plastics processing machine operators,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
9416,9416 Metalworking and forging machine operators,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
9422,9422 Plastics processing machine operators,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
9416,9416 Metalworking and forging machine operators,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
9422,9422 Plastics processing machine operators,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
9416,9416 Metalworking and forging machine operators,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
9422,9422 Plastics processing machine operators,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
9416,9416 Metalworking and forging machine operators,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
9422,9422 Plastics processing machine operators,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
9417,9417 Machining tool operators,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
7231,7231 Machinists and machining and tooling inspectors,51-4041.00,Machinists
7316,7316 Machine fitters,51-4041.00,Machinists
9231,"9231 Central control and process operators, mineral and metal processing",51-4051.00,Metal-Refining Furnace Operators and Tenders
9411,"9411 Machine operators, mineral and metal processing",51-4051.00,Metal-Refining Furnace Operators and Tenders
9241,9241 Power engineers and power systems operators,51-4052.00,"Pourers and Casters, Metal"
9416,9416 Metalworking and forging machine operators,51-4061.00,"Model Makers, Metal and Plastic"
9422,9422 Plastics processing machine operators,51-4061.00,"Model Makers, Metal and Plastic"
9416,9416 Metalworking and forging machine operators,51-4062.00,"Patternmakers, Metal and Plastic"
9422,9422 Plastics processing machine operators,51-4062.00,"Patternmakers, Metal and Plastic"
9412,9412 Foundry workers,51-4071.00,Foundry Mold and Coremakers
9416,9416 Metalworking and forging machine operators,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
9422,9422 Plastics processing machine operators,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
9416,9416 Metalworking and forging machine operators,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
9422,9422 Plastics processing machine operators,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
7232,7232 Tool and die makers,51-4111.00,Tool and Die Makers
7237,7237 Welders and related machine operators,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
7237,7237 Welders and related machine operators,51-4121.06,"Welders, Cutters, and Welder Fitters"
7237,7237 Welders and related machine operators,51-4121.07,Solderers and Brazers
7237,7237 Welders and related machine operators,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
9241,9241 Power engineers and power systems operators,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
9422,9422 Plastics processing machine operators,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
9416,9416 Metalworking and forging machine operators,51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
9422,9422 Plastics processing machine operators,51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
9417,9417 Machining tool operators,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
9473,9473 - Binding and finishing machine operators,51-5011.00,Bindery Workers
9473,9473 - Binding and finishing machine operators,51-5012.00,Bookbinders
7381,7381 Printing press operators,51-5021.00,Job Printers
9472,"9472 Camera, platemaking and other prepress occupations",51-5022.00,Prepress Technicians and Workers
7381,7381 Printing press operators,51-5023.00,Printing Machine Operators
6741,"6741 Dry cleaning, laundry and related occupations",51-6011.00,Laundry and Dry-Cleaning Workers
9441,"9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",51-6021.00,"Pressers, Textile, Garment, and Related Materials"
9446,9446 Industrial sewing machine operators,51-6031.00,Sewing Machine Operators
6343,6343 Shoe repairers and shoemakers,51-6041.00,Shoe and Leather Workers and Repairers
9441,"9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",51-6042.00,Shoe Machine Operators and Tenders
6342,"6342 Tailors, dressmakers, furriers and milliners",51-6051.00,"Sewers, Hand"
6342,"6342 Tailors, dressmakers, furriers and milliners",51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
9441,"9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
9441,"9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
9445,"9445 Fabric, fur and leather cutters",51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
9442,"9442 Weavers, knitters and other fabric making occupations",51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
9441,"9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
9422,9422 Plastics processing machine operators,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
5245,"5245 Patternmakers - textile, leather and fur products",51-6092.00,Fabric and Apparel Patternmakers
6345,6345 Upholsterers,51-6093.00,Upholsterers
7271,7271 Carpenters,51-7011.00,Cabinetmakers and Bench Carpenters
7272,7272 Cabinetmakers,51-7011.00,Cabinetmakers and Bench Carpenters
9534,9534 Furniture finishers and refinishers,51-7021.00,Furniture Finishers
7272,7272 Cabinetmakers,51-7031.00,"Model Makers, Wood"
7272,7272 Cabinetmakers,51-7032.00,"Patternmakers, Wood"
9431,9431 Sawmill machine operators,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
9434,9434 Other wood processing machine operators,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
9434,9434 Other wood processing machine operators,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
9437,9437 Woodworking machine operators,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
9241,9241 Power engineers and power systems operators,51-8011.00,Nuclear Power Reactor Operators
9241,9241 Power engineers and power systems operators,51-8012.00,Power Distributors and Dispatchers
9241,9241 Power engineers and power systems operators,51-8013.00,Power Plant Operators
9241,9241 Power engineers and power systems operators,51-8021.00,Stationary Engineers and Boiler Operators
9243,9243 Water and waste treatment plant operators,51-8031.00,Water and Liquid Waste Treatment Plant and System Operators
9421,9421 Chemical plant machine operators,51-8091.00,Chemical Plant and System Operators
9232,"9232 Petroleum, gas and chemical process operators",51-8092.00,Gas Plant Operators
9232,"9232 Petroleum, gas and chemical process operators",51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
9421,9421 Chemical plant machine operators,51-9011.00,Chemical Equipment Operators and Tenders
9235,"9235 Pulping, papermaking and coating control operators",51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
9432,9432 Pulp mill machine operators,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
9461,"9461 Process control and machine operators, food, beverage and associated products processing",51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
9463,9463 Fish and seafood plant workers,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
9241,9241 Power engineers and power systems operators,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
9423,9423 Rubber processing machine operators and related workers,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
9612,9612 Labourers in metal fabrication,51-9022.00,"Grinding and Polishing Workers, Hand"
9414,"9414 Concrete, clay and stone forming operators",51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
9411,"9411 Machine operators, mineral and metal processing",51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
9413,9413 Glass forming and finishing machine operators and glass cutters,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
9414,"9414 Concrete, clay and stone forming operators",51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
9423,9423 Rubber processing machine operators and related workers,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
2261,2261 Non-destructive testers and inspection technicians,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
2262,2262 Engineering inspectors and regulatory officers,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
9415,"9415 Inspectors and testers, mineral and metal processing",51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
9447,"9447 Inspectors and graders, textile, fabric, fur and leather products manufacturing",51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
9465,"9465 Testers and graders, food, beverage and associated products processing",51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
9521,9521 Aircraft assemblers and aircraft assembly inspectors,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
9522,"9522 Motor vehicle assemblers, inspectors and testers",51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
9523,"9523 Electronics assemblers, fabricators, inspectors and testers",51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
9524,"9524 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
9525,"9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
9526,9526 Mechanical assemblers and inspectors,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
9527,"9527 Machine operators and inspectors, electrical apparatus manufacturing",51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
9531,9531 Boat assemblers and inspectors,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
9532,9532 Furniture and fixture assemblers and inspectors,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
9535,"9535 Plastic products assemblers, finishers and inspectors",51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
9537,"9537 Other products assemblers, finishers and inspectors",51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
5244,5244 Artisans and craftspersons,51-9071.00,Jewelers and Precious Stone and Metal Workers
6344,"6344 Jewellers, jewellery and watch repairers and related occupations",51-9071.00,Jewelers and Precious Stone and Metal Workers
6344,"6344 Jewellers, jewellery and watch repairers and related occupations",51-9071.01,Jewelers
6344,"6344 Jewellers, jewellery and watch repairers and related occupations",51-9071.06,Gem and Diamond Workers
5244,5244 Artisans and craftspersons,51-9071.07,Precious Metal Workers
6344,"6344 Jewellers, jewellery and watch repairers and related occupations",51-9071.07,Precious Metal Workers
3223,"3223 Dental technologists, technicians and laboratory assistants",51-9081.00,Dental Laboratory Technicians
3219,3219 Other medical technologists and technicians (except dental health),51-9082.00,Medical Appliance Technicians
3414,3414 Other assisting occupations in support of health services,51-9083.00,Ophthalmic Laboratory Technicians
9536,"9536 Industrial painters, coaters and metal finishing process operators",51-9121.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
7322,7322 Motor vehicle body repairers,51-9122.00,"Painters, Transportation Equipment"
7294,7294 Painters and decorators (except interior decorators),51-9123.00,"Painting, Coating, and Decorating Workers"
9474,9474 - Photographic and film processors,51-9131.00,Photographic Process Workers
9474,9474 - Photographic and film processors,51-9132.00,Photographic Processing Machine Operators
9523,"9523 Electronics assemblers, fabricators, inspectors and testers",51-9141.00,Semiconductor Processors
9418,9418 Other metal products machine operators,51-9191.00,Cementing and Gluing Machine Operators and Tenders
9235,"9235 Pulping, papermaking and coating control operators",51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
9241,9241 Power engineers and power systems operators,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
5244,5244 Artisans and craftspersons,51-9194.00,Etchers and Engravers
9413,9413 Glass forming and finishing machine operators and glass cutters,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
9414,"9414 Concrete, clay and stone forming operators",51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
9423,9423 Rubber processing machine operators and related workers,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
7281,7281 Bricklayers,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
9414,"9414 Concrete, clay and stone forming operators",51-9195.03,"Stone Cutters and Carvers, Manufacturing"
9413,9413 Glass forming and finishing machine operators and glass cutters,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
9414,"9414 Concrete, clay and stone forming operators",51-9195.05,"Potters, Manufacturing"
9412,9412 Foundry workers,51-9195.07,Molding and Casting Workers
9414,"9414 Concrete, clay and stone forming operators",51-9195.07,Molding and Casting Workers
9422,9422 Plastics processing machine operators,51-9195.07,Molding and Casting Workers
9437,9437 Woodworking machine operators,51-9195.07,Molding and Casting Workers
9413,9413 Glass forming and finishing machine operators and glass cutters,51-9195.07,Molding and Casting Workers
9423,9423 Rubber processing machine operators and related workers,51-9195.07,Molding and Casting Workers
9235,"9235 Pulping, papermaking and coating control operators",51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
9433,9433 Papermaking and finishing machine operators,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
9435,9435 Paper converting machine operators,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
9423,9423 Rubber processing machine operators and related workers,51-9197.00,Tire Builders
9611,9611 Labourers in mineral and metal processing,51-9198.00,Helpers--Production Workers
9612,9612 Labourers in metal fabrication,51-9198.00,Helpers--Production Workers
9613,9613 Labourers in chemical products processing and utilities,51-9198.00,Helpers--Production Workers
9614,"9614 Labourers in wood, pulp and paper processing",51-9198.00,Helpers--Production Workers
9615,9615 Labourers in rubber and plastic products manufacturing,51-9198.00,Helpers--Production Workers
9616,9616 Labourers in textile processing,51-9198.00,Helpers--Production Workers
9617,"9617 Labourers in food, beverage and associated products processing",51-9198.00,Helpers--Production Workers
9618,9618 Labourers in fish and seafood processing,51-9198.00,Helpers--Production Workers
9619,"9619 Other labourers in processing, manufacturing and utilities",51-9198.00,Helpers--Production Workers
6523,6523 Airline ticket and service agents,53-1011.00,Aircraft Cargo Handling Supervisors
6313,"6313 Accommodation, travel, tourism and related services supervisors",53-1031.00,First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators
2271,"2271 Air pilots, flight engineers and flying instructors",53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
2271,"2271 Air pilots, flight engineers and flying instructors",53-2012.00,Commercial Pilots
2272,2272 Air traffic controllers and related occupations,53-2021.00,Air Traffic Controllers
2272,2272 Air traffic controllers and related occupations,53-2022.00,Airfield Operations Specialists
3234,3234 Paramedical occupations,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
7305,"7305 Supervisors, motor transport and other ground transit operators",53-3021.00,"Bus Drivers, Transit and Intercity"
7512,"7512 Bus drivers, subway operators and other transit operators",53-3021.00,"Bus Drivers, Transit and Intercity"
7305,"7305 Supervisors, motor transport and other ground transit operators",53-3022.00,"Bus Drivers, School"
7512,"7512 Bus drivers, subway operators and other transit operators",53-3022.00,"Bus Drivers, School"
7511,7511 Transport truck drivers,53-3032.00,"Truck Drivers, Heavy and Tractor-Trailer"
7514,7514 Delivery and courier service drivers,53-3033.00,"Truck Drivers, Light or Delivery Services"
7513,7513 Taxi and limousine drivers and chauffeurs,53-3041.00,Taxi Drivers and Chauffeurs
7361,7361 Railway and yard locomotive engineers,53-4011.00,Locomotive Engineers
7622,7622 Railway and motor transport labourers,53-4012.00,Locomotive Firers
7361,7361 Railway and yard locomotive engineers,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
7531,7531 Railway yard and track maintenance workers,53-4021.00,"Railroad Brake, Signal, and Switch Operators"
2275,2275 Railway traffic controllers and marine traffic regulators,53-4031.00,Railroad Conductors and Yardmasters
7304,"7304 Supervisors, railway transport operations",53-4031.00,Railroad Conductors and Yardmasters
7362,7362 Railway conductors and brakemen/women,53-4031.00,Railroad Conductors and Yardmasters
7512,"7512 Bus drivers, subway operators and other transit operators",53-4041.00,Subway and Streetcar Operators
7532,7532 Water transport deck and engine room crew,53-5011.00,Sailors and Marine Oilers
2273,"2273 Deck officers, water transport",53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
7533,7533 Boat and cable ferry operators and related occupations,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
2273,"2273 Deck officers, water transport",53-5021.01,Ship and Boat Captains
