noc,noc_title,onet,onet_title
6562,"6562 Estheticians, electrologists and related occupations",39-1021.00,First-Line Supervisors/Managers of Personal Service Workers
6564,6564 Other personal service occupations,39-1021.00,First-Line Supervisors/Managers of Personal Service Workers
6563,6563 Pet groomers and animal care workers,39-2011.00,Animal Trainers
6563,6563 Pet groomers and animal care workers,39-2021.00,Nonfarm Animal Caretakers
6533,6533 Casino occupations,39-3011.00,Gaming Dealers
6722,"6722 Operators and attendants in amusement, recreation and sport",39-3012.00,Gaming and Sports Book Writers and Runners
6533,6533 Casino occupations,39-3012.00,Gaming and Sports Book Writers and Runners
5227,"5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",39-3021.00,Motion Picture Projectionists
6742,"6742 Other service support occupations, n.e.c.",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
6722,"6722 Operators and attendants in amusement, recreation and sport",39-3091.00,Amusement and Recreation Attendants
5226,"5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",39-3092.00,Costume Attendants
5227,"5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",39-3092.00,Costume Attendants
6742,"6742 Other service support occupations, n.e.c.",39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
6346,6346 Funeral directors and embalmers,39-4011.00,Embalmers
6742,"6742 Other service support occupations, n.e.c.",39-4021.00,Funeral Attendants
6341,6341 Hairstylists and barbers,39-5011.00,Barbers
6341,6341 Hairstylists and barbers,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
5226,"5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",39-5091.00,"Makeup Artists, Theatrical and Performance"
6562,"6562 Estheticians, electrologists and related occupations",39-5092.00,Manicurists and Pedicurists
6561,"6561 Image, social and other personal consultants",39-5093.00,Shampooers
6562,"6562 Estheticians, electrologists and related occupations",39-5093.00,Shampooers
6562,"6562 Estheticians, electrologists and related occupations",39-5094.00,Skin Care Specialists
6721,"6721 Support occupations in accommodation, travel and facilities set-up services",39-6011.00,Baggage Porters and Bellhops
6531,6531 Tour and travel guides,39-6012.00,Concierges
6531,6531 Tour and travel guides,39-6021.00,Tour Guides and Escorts
6531,6531 Tour and travel guides,39-6022.00,Travel Guides
6522,6522 - Pursers and flight attendants,39-6031.00,Flight Attendants
6522,6522 - Pursers and flight attendants,39-6032.00,"Transportation Attendants, Except Flight Attendants and Baggage Porters"
4411,4411 Home child care providers,39-9011.00,Child Care Workers
4411,4411 Home child care providers,39-9011.01,Nannies
3413,"3413 Nurse aides, orderlies and patient service associates",39-9021.00,Personal and Home Care Aides
4412,"4412 Home support workers, housekeepers and related occupations",39-9021.00,Personal and Home Care Aides
5254,"5254 Program leaders and instructors in recreation, sport and fitness",39-9031.00,Fitness Trainers and Aerobics Instructors
6532,6532 Outdoor sport and recreational guides,39-9032.00,Recreation Workers
6722,"6722 Operators and attendants in amusement, recreation and sport",39-9032.00,Recreation Workers
4212,4212 Social and community service workers,39-9041.00,Residential Advisors
6211,6211 Retail sales supervisors,41-1011.00,First-Line Supervisors/Managers of Retail Sales Workers
6411,6411 Sales and account representatives - wholesale trade (non-technical),41-1012.00,First-Line Supervisors/Managers of Non-Retail Sales Workers
6611,6611 Cashiers,41-2011.00,Cashiers
6533,6533 Casino occupations,41-2012.00,Gaming Change Persons and Booth Cashiers
6421,6421 Retail salespersons,41-2021.00,Counter and Rental Clerks
6411,6411 Sales and account representatives - wholesale trade (non-technical),41-2022.00,Parts Salespersons
1522,1522 Storekeepers and partspersons,41-2022.00,Parts Salespersons
6421,6421 Retail salespersons,41-2031.00,Retail Salespersons
6411,6411 Sales and account representatives - wholesale trade (non-technical),41-3011.00,Advertising Sales Agents
6231,6231 Insurance agents and brokers,41-3021.00,Insurance Sales Agents
1113,"1113 Securities agents, investment dealers and brokers",41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
6235,6235 Financial sales representatives,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
1113,"1113 Securities agents, investment dealers and brokers",41-3031.01,"Sales Agents, Securities and Commodities"
6235,6235 Financial sales representatives,41-3031.02,"Sales Agents, Financial Services"
6521,6521 Travel counsellors,41-3041.00,Travel Agents
6221,6221 Technical sales specialists - wholesale trade,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
6411,6411 Sales and account representatives - wholesale trade (non-technical),41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
6623,6623 Other sales related occupations,41-9011.00,Demonstrators and Product Promoters
5232,"5232 Other performers, n.e.c.",41-9012.00,Models
121,"0121 Insurance, real estate and financial brokerage managers",41-9021.00,Real Estate Brokers
6232,6232 Real estate agents and salespersons,41-9022.00,Real Estate Sales Agents
6221,6221 Technical sales specialists - wholesale trade,41-9031.00,Sales Engineers
6623,6623 Other sales related occupations,41-9041.00,Telemarketers
6623,6623 Other sales related occupations,41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"
114,0114 Other administrative services managers,43-1011.00,First-Line Supervisors/Managers of Office and Administrative Support Workers
1414,1414 Receptionists,43-2011.00,"Switchboard Operators, Including Answering Service"
1414,1414 Receptionists,43-2021.00,Telephone Operators
1435,1435 Collectors,43-3011.00,Bill and Account Collectors
1431,1431 Accounting and related clerks,43-3021.00,Billing and Posting Clerks and Machine Operators
1431,1431 Accounting and related clerks,43-3021.01,Statement Clerks
1431,1431 Accounting and related clerks,43-3021.02,"Billing, Cost, and Rate Clerks"
1431,1431 Accounting and related clerks,43-3021.03,"Billing, Posting, and Calculating Machine Operators"
1311,1311 Accounting technicians and bookkeepers,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
1431,1431 Accounting and related clerks,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
6533,6533 Casino occupations,43-3041.00,Gaming Cage Workers
1432,1432 Payroll clerks,43-3051.00,Payroll and Timekeeping Clerks
1524,1524 Purchasing and inventory control workers,43-3061.00,Procurement Clerks
6551,6551 Customer services representatives - financial institutions,43-3071.00,Tellers
1434,"1434 Banking, insurance and other financial clerks",43-4011.00,Brokerage Clerks
1452,"1452 Correspondence, publication and regulatory clerks",43-4021.00,Correspondence Clerks
1416,1416 Court clerks,43-4031.00,"Court, Municipal, and License Clerks"
1416,1416 Court clerks,43-4031.01,Court Clerks
1416,1416 Court clerks,43-4031.02,Municipal Clerks
1416,1416 Court clerks,43-4031.03,License Clerks
1434,"1434 Banking, insurance and other financial clerks",43-4041.00,"Credit Authorizers, Checkers, and Clerks"
1434,"1434 Banking, insurance and other financial clerks",43-4041.01,Credit Authorizers
1434,"1434 Banking, insurance and other financial clerks",43-4041.02,Credit Checkers
6551,6551 Customer services representatives - financial institutions,43-4051.00,Customer Service Representatives
6552,6552 Other customer and information services representatives,43-4051.00,Customer Service Representatives
4168,4168 Program officers unique to government,43-4061.00,"Eligibility Interviewers, Government Programs"
1253,1253 Records management technicians,43-4071.00,File Clerks
6525,6525 Hotel front desk clerks,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
1451,1451 Library assistants and clerks,43-4121.00,"Library Assistants, Clerical"
1434,"1434 Banking, insurance and other financial clerks",43-4131.00,Loan Interviewers and Clerks
1434,"1434 Banking, insurance and other financial clerks",43-4141.00,New Accounts Clerks
6552,6552 Other customer and information services representatives,43-4151.00,Order Clerks
1415,1415 Personnel clerks,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
1414,1414 Receptionists,43-4171.00,Receptionists and Information Clerks
6523,6523 Airline ticket and service agents,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
6524,"6524 Ground and water transport ticket agents, cargo service representatives and related clerks",43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
6524,"6524 Ground and water transport ticket agents, cargo service representatives and related clerks",43-5011.00,Cargo and Freight Agents
7534,7534 Air transport ramp attendants,43-5011.00,Cargo and Freight Agents
1513,"1513 Couriers, messengers and door-to-door distributors",43-5021.00,Couriers and Messengers
1525,1525 Dispatchers,43-5031.00,"Police, Fire, and Ambulance Dispatchers"
1525,1525 Dispatchers,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
1526,1526 Transportation route and crew schedulers,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
1454,1454 Survey interviewers and statistical clerks,43-5041.00,"Meter Readers, Utilities"
1511,"1511 Mail, postal and related workers",43-5051.00,Postal Service Clerks
1512,1512 Letter carriers,43-5052.00,Postal Service Mail Carriers
1511,"1511 Mail, postal and related workers",43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
1523,1523 Production logistics co-ordinators,43-5061.00,"Production, Planning, and Expediting Clerks"
1521,1521 Shippers and receivers,43-5071.00,"Shipping, Receiving, and Traffic Clerks"
1522,1522 Storekeepers and partspersons,43-5081.00,Stock Clerks and Order Fillers
6622,"6622 Store shelf stockers, clerks and order fillers",43-5081.00,Stock Clerks and Order Fillers
6622,"6622 Store shelf stockers, clerks and order fillers",43-5081.01,"Stock Clerks, Sales Floor"
6622,"6622 Store shelf stockers, clerks and order fillers",43-5081.02,Marking Clerks
6622,"6622 Store shelf stockers, clerks and order fillers",43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard"
6622,"6622 Store shelf stockers, clerks and order fillers",43-5081.04,"Order Fillers, Wholesale and Retail Sales"
1411,1411 General office support workers,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
1222,1222 Executive assistants,43-6011.00,Executive Secretaries and Administrative Assistants
1242,1242 Legal administrative assistants,43-6012.00,Legal Secretaries
1243,1243 Medical administrative assistants,43-6013.00,Medical Secretaries
1221,1221 Administrative officers,43-6014.00,"Secretaries, Except Legal, Medical, and Executive"
1241,1241 Administrative assistants,43-6014.00,"Secretaries, Except Legal, Medical, and Executive"
2281,2281 Computer network technicians,43-9011.00,Computer Operators
1422,1422 Data entry clerks,43-9021.00,Data Entry Keyers
1411,1411 General office support workers,43-9022.00,Word Processors and Typists
1423,1423 Desktop publishing operators and related occupations,43-9031.00,Desktop Publishers
1434,"1434 Banking, insurance and other financial clerks",43-9041.00,Insurance Claims and Policy Processing Clerks
1434,"1434 Banking, insurance and other financial clerks",43-9041.01,Insurance Claims Clerks
1434,"1434 Banking, insurance and other financial clerks",43-9041.02,Insurance Policy Processing Clerks
1414,1414 Receptionists,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
1411,1411 General office support workers,43-9061.00,"Office Clerks, General"
1253,1253 Records management technicians,43-9071.00,"Office Machine Operators, Except Computer"
5223,5223 Graphic arts technicians,43-9071.00,"Office Machine Operators, Except Computer"
9471,9471 Plateless printing equipment operators,43-9071.00,"Office Machine Operators, Except Computer"
1452,"1452 Correspondence, publication and regulatory clerks",43-9081.00,Proofreaders and Copy Markers
1254,1254 Statistical officers and related research support occupations,43-9111.00,Statistical Assistants
